OrderNum,OrderType,CustomerType,CustName,CustState,ProdCategory,ProdNumber,ProdName,Quantity,Price,Discount,OrderTotal
1101873,Wholesale,Business,Gusikowski Group,North Carolina,eBooks,EB521,Understanding Artificial Intelligence,7,$19.50 ,$3.90 ,$132.60 
1101874,Wholesale,Business,Koch LLC,Ohio,eBooks,EB509,GPS Drones,10,$19.99 ,$4.00 ,$195.90 
1101875,Wholesale,Business,Kiehn LLC,District of Columbia,Drones,DS306,DX-145 Drone,8,$250.00 ,$50.00 ,"$1,950.00 "
1101876,Retail,Individual,Ed Zboncak,Oklahoma,Training Videos,TV810,Understanding Automation,1,$44.95 ,0,$44.95 
1101877,Wholesale,Business,Upton LLC,California,Drone Kits,DK204,BYOD-300,82,$89.00 ,$17.80 ,"$7,280.20 "
1101878,Wholesale,Business,Stroman Inc.,Pennsylvania,Drones,DS306,DX-145 Drone,7,$250.00 ,$50.00 ,"$1,700.00 "
1101879,Wholesale,Business,Fisher Inc.,Nevada,Training Videos,TV811,Understanding Drone Regulations,8,$27.50 ,$5.50 ,$214.50 
1101880,Wholesale,Business,Pagac LLC,Virginia,eBooks,EB501,Articulated Robots,5,$23.99 ,$4.80 ,$115.15 
1101881,Wholesale,Business,Barton Inc.,Louisiana,Blueprints,BP106,Hexacopter Drone Blueprint,3,$8.99 ,$1.80 ,$25.17 
1101882,Wholesale,Business,Daugherty Group,New Mexico,Training Videos,TV809,Understanding 3D Printing,11,$42.99 ,$8.60 ,$464.29 
1101883,Wholesale,Business,Reinger Technologies,Florida,Drones,DS306,DX-145 Drone,8,$250.00 ,$50.00 ,"$1,950.00 "
1101884,Wholesale,Business,Herman LLC,Washington,Blueprints,BP104,Cat Robot Blueprint,38,$4.99 ,$1.00 ,$188.62 
1101885,Wholesale,Business,Carroll Inc.,New York,Drone Kits,DK204,BYOD-300,10,$89.00 ,$17.80 ,$872.20 
1101886,Wholesale,Business,Russel Group,California,Robot Kits,RK602,BYOR-1000,10,$189.00 ,$37.80 ,"$1,852.20 "
1101887,Wholesale,Business,Walker Group,Minnesota,eBooks,EB502,Building Your First Robot,11,$24.95 ,$4.99 ,$269.46 
1101888,Retail,Individual,Hannah Leannon,Texas,Blueprints,BP105,Creature Robot Arms Blueprint ,1,$12.00 ,0,$12.00 
1101889,Wholesale,Business,Langosh Inc.,Minnesota,eBooks,EB505,Delivery Drones,12,$14.99 ,$3.00 ,$176.88 
1101890,Wholesale,Business,Williamson Co.,Texas,Drone Kits,DK204,BYOD-300,9,$89.00 ,$17.80 ,$783.20 
1101891,Retail,Individual,Stephanie Conn,Hawaii,Blueprints,BP108,Panda Robot Blueprint,1,$7.99 ,0,$7.99 
1101892,Wholesale,Business,Clever Industries,Utah,eBooks,EB508,Fixed Wing Drones,8,$15.50 ,$3.10 ,$120.90 
1101893,Wholesale,Business,Corkery International ,Utah,eBooks,EB513,Photograph Drones,5,$14.99 ,$3.00 ,$71.95 
1101894,Retail,Individual,Sara Wilkinson,Louisiana,Drones,DS306,DX-145 Drone,1,$250.00 ,0,$250.00 
1101895,Retail,Individual,Eduard Trymme,Pennsylvania,Drone Kits,DK206,BYOD-400,1,$119.00 ,0,$119.00 
1101896,Wholesale,Business,Sporer LLC,Virginia,Robot Kits,RK603,BYOR-1500,8,$189.00 ,$37.80 ,"$1,474.20 "
1101897,Wholesale,Business,Koch LLC,Ohio,Drone Kits,DK204,BYOD-300,4,$89.00 ,$17.80 ,$338.20 
1101898,Wholesale,Business,Hamill Inc.,Florida,Robot Kits,RK603,BYOR-1500,8,$189.00 ,$37.80 ,"$1,474.20 "
1101899,Retail,Individual,Patin Carbery,Virginia,Training Videos,TV806,Mapping with Drones,1,$49.00 ,0,$49.00 
1101900,Retail,Individual,Calida Behne,Tennessee,Drone Kits,DK206,BYOD-400,1,$119.00 ,0,$119.00 
1101901,Wholesale,Business,LMD Resources,New Hampshire,Blueprints,BP109,QuadroCopter Blueprint ,10,$10.99 ,$2.20 ,$107.70 
1101902,Wholesale,Business,Kessler Inc.,Ohio,Blueprints,BP108,Panda Robot Blueprint,5,$7.99 ,$1.60 ,$38.35 
1101903,Retail,Individual,Tom McGettrick,West Virginia,Robots,RS704,RLK-9920 Robot,1,$699.00 ,0,$699.00 
1101904,Wholesale,Business,Reilly LLC,Washington,eBooks,EB521,Understanding Artificial Intelligence,9,$19.50 ,$3.90 ,$171.60 
1101905,Retail,Individual,McKenzie Lockman,California,Drone Kits,DK204,BYOD-300,2,$89.00 ,0,$178.00 
1101906,Retail,Individual,Marcellina Longthorne,Arizona,Training Videos,TV811,Understanding Drone Regulations,1,$27.50 ,0,$27.50 
1101907,Retail,Individual,Nelly Abernathy,Texas,Robot Kits,RK603,BYOR-1500,1,$189.00 ,0,$189.00 
1101908,Retail,Individual,Steve Langosh,North Carolina,Blueprints,BP109,QuadroCopter Blueprint ,1,$10.99 ,0,$10.99 
1101909,Wholesale,Business,Trantow Technologies,Mississippi,Robot Kits,RK602,BYOR-1000,3,$189.00 ,$37.80 ,$529.20 
1101910,Wholesale,Business,The Lesch Company,Maryland,Training Videos,TV809,Understanding 3D Printing,5,$42.99 ,$8.60 ,$206.35 
1101911,Wholesale,Business,H Plus Sport,Florida,Drone Kits,DK204,BYOD-300,3,$89.00 ,$17.80 ,$249.20 
1101912,Wholesale,Business,Heller Inc.,Minnesota,eBooks,EB513,Photograph Drones,10,$14.99 ,$3.00 ,$146.90 
1101913,Retail,Individual,Deb Moore,Massachusetts,eBooks,EB513,Photograph Drones,1,$14.99 ,0,$14.99 
1101914,Wholesale,Business,Gerhold Group,New York,Training Videos,TV809,Understanding 3D Printing,3,$42.99 ,$8.60 ,$120.37 
1101915,Wholesale,Business,Kemmer and Sons,North Carolina,Blueprints,BP109,QuadroCopter Blueprint ,12,$10.99 ,$2.20 ,$129.68 
1101916,Retail,Individual,Korie Duck,Georgia,Blueprints,BP104,Cat Robot Blueprint,1,$4.99 ,0,$4.99 
1101917,Wholesale,Business,Hayes LLC,Illinois,eBooks,EB504,Cartesian Robots,7,$12.99 ,$2.60 ,$88.33 
1101918,Retail,Individual,Jermain Boxell,Kansas,Robot Kits,RK606,BYOR-3535,1,$222.00 ,0,$222.00 
1101919,Retail,Individual,Ethe Rappaport,Massachusetts,Robot Kits,RK607,BYOR-4005,1,$245.00 ,0,$245.00 
1101920,Wholesale,Business,Gleason LLC,Louisiana,Training Videos,TV803,Cloud Computing,97,$29.99 ,$6.00 ,"$2,903.03 "
1101921,Wholesale,Business,Schmidt Group,Nebraska,Drones,DS301,DA-SA702 Drone,7,$399.00 ,$79.80 ,"$2,713.20 "
1101922,Wholesale,Business,Altenwerth and Sons,New York,Training Videos,TV803,Cloud Computing,9,$29.99 ,$6.00 ,$263.91 
1101923,Wholesale,Business,Barton Inc.,Louisiana,Robot Kits,RK606,BYOR-3535,11,$225.00 ,$45.00 ,"$2,430.00 "
1101924,Wholesale,Business,Metz Group,Delaware,Drones,DS306,DX-145 Drone,9,$250.00 ,$50.00 ,"$2,200.00 "
1101925,Wholesale,Business,Rempel Inc.,South Dakota,Blueprints,BP104,Cat Robot Blueprint,12,$4.99 ,$1.00 ,$58.88 
1101926,Wholesale,Business,Heller Inc.,Minnesota,Training Videos,TV803,Cloud Computing,6,$29.99 ,$6.00 ,$173.94 
1101927,Wholesale,Business,Kiehn LLC,District of Columbia,Blueprints,BP110,Sleepy Eye Blueprint,12,$11.99 ,$2.40 ,$141.48 
1101928,Wholesale,Business,Fahey Forever Inc..,California,Training Videos,TV802,AI for Educators,57,$49.95 ,$9.99 ,"$2,837.16 "
1101929,Retail,Individual,Kiley Kordovani,District of Columbia,Training Videos,TV802,AI for Educators,1,$49.95 ,0,$49.95 
1101930,Wholesale,Business,Daugherty Group,New Mexico,Training Videos,TV809,Understanding 3D Printing,13,$42.99 ,$8.60 ,$550.27 
1101931,Wholesale,Business,Abshire Inc.,Oklahoma,Drone Kits,DK203,BYOD-220,10,$69.00 ,$13.80 ,$676.20 
1101932,Wholesale,Business,Little and Sons,California,Robot Kits,RK602,BYOR-1000,10,$190.00 ,$38.00 ,"$1,862.00 "
1101933,Wholesale,Business,Kessler Inc.,Ohio,Blueprints,BP104,Cat Robot Blueprint,9,$4.99 ,$1.00 ,$43.91 
1101934,Wholesale,Business,Murazik Inc.,Arizona,Training Videos,TV804,Drone Video Techniques,4,$37.99 ,$7.60 ,$144.36 
1101935,Wholesale,Business,Bergnaum Group,Ohio,eBooks,EB513,Photograph Drones,12,$14.99 ,$3.00 ,$176.88 
1101936,Retail,Individual,Dugald Hackly,Illinois,Drones,DS306,DX-145 Drone,1,$250.00 ,0,$250.00 
1101937,Wholesale,Business,Carter and Sons,Iowa,Blueprints,BP107,Ladybug Robot Blueprint,9,$12.00 ,$2.40 ,$105.60 
1101938,Wholesale,Business,Lockman Group,Kansas,Robots,RS706,RWW-75 Robot,6,$883.00 ,$176.60 ,"$5,121.40 "
1101939,Wholesale,Business,Kemmer and Sons,North Carolina,Blueprints,BP104,Cat Robot Blueprint,8,$4.99 ,$1.00 ,$38.92 
1101940,Wholesale,Business,Kreiger LLC,New York,Robots,RS704,RLK-9920 Robot,12,$699.00 ,$139.80 ,"$8,248.20 "
1101941,Retail,Individual,Cairistiona Keyden,Kentucky,Robot Kits,RK602,BYOR-1000,1,$189.00 ,0,$189.00 
1101942,Wholesale,Business,Kemmer and Sons,North Carolina,eBooks,EB521,Understanding Artificial Intelligence,8,$19.50 ,$3.90 ,$152.10 
1101943,Retail,Individual,Frank Showler,Michigan,eBooks,EB513,Photograph Drones,1,$14.99 ,0,$14.99 
1101944,Wholesale,Business,Hegmann Group,Arkansas,Robot Kits,RK605,BYOR-3000,81,$214.00 ,$42.80 ,"$17,291.20 "
1101945,Retail,Individual,Mitchell Hayes,Kansas,eBooks,EB509,GPS Drones,1,$19.99 ,0,$19.99 
1101946,Wholesale,Business,Parisian LLC,Florida,Blueprints,BP107,Ladybug Robot Blueprint,8,$12.00 ,$2.40 ,$93.60 
1101947,Wholesale,Business,Faded Light Inc..,Missouri,Blueprints,BP104,Cat Robot Blueprint,8,$4.99 ,$1.00 ,$38.92 
1101948,Wholesale,Business,Flatley-Effertz,Washington,Blueprints,BP104,Cat Robot Blueprint,4,$4.99 ,$1.00 ,$18.96 
1101949,Wholesale,Business,Marks Inc.,Texas,eBooks,EB513,Photograph Drones,11,$14.99 ,$3.00 ,$161.89 
1101950,Wholesale,Business,Beier Inc.,Michigan,Training Videos,TV811,Understanding Drone Regulations,5,$27.50 ,$5.50 ,$132.00 
1101951,Wholesale,Business,Bechtelar LLC,Arizona,Blueprints,BP107,Ladybug Robot Blueprint,9,$12.00 ,$2.40 ,$105.60 
1101952,Retail,Individual,Jasmina Denge,Texas,eBooks,EB520,Understanding Arduino,1,$17.50 ,0,$17.50 
1101953,Retail,Individual,Kathrine Varvara,California,eBooks,EB507,Drone Building Essentials,1,$13.99 ,0,$13.99 
1101954,Retail,Individual,Zulema Maultby,Texas,Training Videos,TV806,Mapping with Drones,1,$49.00 ,0,$49.00 
1101955,Wholesale,Business,CDIA Inc..,Colorado,Training Videos,TV805,Industrial 3D Printing ,6,$49.00 ,$9.80 ,$284.20 
1101956,Retail,Individual,Malorie Barthod,New Jersey,Training Videos,TV807,Open Source Code,1,$32.95 ,0,$32.95 
1101957,Wholesale,Business,Witting Innovations,Kentucky,Drone Kits,DK202,BYOD-200,27,$58.95 ,$11.79 ,"$1,579.86 "
1101958,Wholesale,Business,Stroman Inc.,Pennsylvania,Training Videos,TV813,Virtual Reality Basics,3,$29.99 ,$6.00 ,$83.97 
1101959,Retail,Individual,Yulma Leman,Hawaii,Drones,DS305,DTI-84 Drone,1,$455.00 ,0,$455.00 
1101960,Wholesale,Business,Jacobi LLC,Arizona,Blueprints,BP108,Panda Robot Blueprint,9,$7.99 ,$1.60 ,$70.31 
1101961,Wholesale,Business,Trantow Technologies,Mississippi,Robots,RS706,RWW-75 Robot,13,$883.00 ,$176.60 ,"$11,302.40 "
1101962,Retail,Business,Medhurst Inc.,Virginia,Training Videos,TV809,Understanding 3D Printing,4,$42.99 ,0,$171.96 
1101963,Retail,Individual,Douglas Dooley,Wisconsin,Training Videos,TV804,Drone Video Techniques,1,$37.99 ,0,$37.99 
1101964,Wholesale,Business,Murphy LLC,Missouri,Drones,DS306,DX-145 Drone,5,$250.00 ,$50.00 ,"$1,200.00 "
1101965,Wholesale,Business,Hettinger and Sons,West Virginia,Blueprints,BP102,Bsquare Robot Blueprint,3,$8.99 ,$1.80 ,$25.17 
1101966,Wholesale,Business,Auer Inc.,Maryland,eBooks,EB501,Articulated Robots,13,$23.99 ,$4.80 ,$307.07 
1101967,Wholesale,Business,Armstrong Resources,Tennessee,eBooks,EB512,Multi Rotor Drones,3,$24.95 ,$4.99 ,$69.86 
1101968,Wholesale,Business,Schiller LLC,Pennsylvania,Blueprints,BP104,Cat Robot Blueprint,12,$4.99 ,$1.00 ,$58.88 
1101969,Retail,Business,Ebert LLC,Georgia,eBooks,EB521,Understanding Artificial Intelligence,74,$19.50 ,0,"$1,443.00 "
1101970,Wholesale,Business,Erdman LLC,North Carolina,Robot Kits,RK603,BYOR-1500,89,$189.00 ,$37.80 ,"$16,783.20 "
1101971,Wholesale,Business,DuBuque Group,Texas,eBooks,EB508,Fixed Wing Drones,23,$15.50 ,$3.10 ,$353.40 
1101972,Wholesale,Business,WPS Technologies,Pennsylvania,Training Videos,TV805,Industrial 3D Printing ,51,$49.00 ,$9.80 ,"$2,489.20 "
1101973,Retail,Individual,Dewain Farquharson,North Carolina,Robot Kits,RK603,BYOR-1500,1,$189.00 ,0,$189.00 
1101974,Wholesale,Business,Reichel and Sons,Oklahoma,Drone Kits,DK203,BYOD-220,12,$69.00 ,$13.80 ,$814.20 
1101975,Wholesale,Business,Windler Tech Supplies,Wyoming,Training Videos,TV809,Understanding 3D Printing,10,$42.99 ,$8.60 ,$421.30 
1101976,Wholesale,Business,Schinner Inc.,Florida,eBooks,EB502,Building Your First Robot,19,$24.95 ,$4.99 ,$469.06 
1101977,Retail,Individual,Greg Collier,North Carolina,Training Videos,TV803,Cloud Computing,1,$29.99 ,0,$29.99 
1101978,Retail,Individual,Dave Lemke,Oklahoma,eBooks,EB519,Spherical Robots,1,$16.75 ,0,$16.75 
1101979,Wholesale,Business,Goodwin Inc.,New York,Training Videos,TV802,AI for Educators,11,$49.95 ,$9.99 ,$539.46 
1101980,Wholesale,Business,Feil LLC,Maryland,Drones,DS301,DA-SA702 Drone,11,$399.00 ,$79.80 ,"$4,309.20 "
1101981,Retail,Individual,Joline Winham,Texas,eBooks,EB503,Building Your Own Drone,1,$24.99 ,0,$24.99 
1101982,Retail,Individual,Rose Kling-Muller,Wyoming,eBooks,EB505,Delivery Drones,1,$14.99 ,0,$14.99 
1101983,Wholesale,Business,Rice Inc.,New York,Training Videos,TV811,Understanding Drone Regulations,77,$27.50 ,$5.50 ,"$2,112.00 "
1101984,Wholesale,Business,Kuhlman Inc.,Tennessee,Drones,DS301,DA-SA702 Drone,9,$399.00 ,$79.80 ,"$3,511.20 "
1101985,Retail,Individual,Vidovik MacCarter,Louisiana,Training Videos,TV803,Cloud Computing,1,$29.99 ,0,$29.99 
1101986,Wholesale,Business,Ratke and Sons,North Carolina,eBooks,EB503,Building Your Own Drone,9,$24.99 ,$5.00 ,$219.91 
1101987,Retail,Individual,Toby Quitzon,Texas,Blueprints,BP108,Panda Robot Blueprint,1,$7.99 ,0,$7.99 
1101988,Wholesale,Business,Cremin LLC,Colorado,Robots,RS706,RWW-75 Robot,88,$883.00 ,$176.60 ,"$77,527.40 "
1101989,Retail,Individual,Murry Jarrel,Connecticut,Blueprints,BP107,Ladybug Robot Blueprint,1,$12.00 ,0,$12.00 
1101990,Wholesale,Business,Schinner Inc.,Florida,Drone Kits,DK208,BYOD-500,8,$167.00 ,$33.40 ,"$1,302.60 "
1101991,Wholesale,Business,Rippin Industries,Iowa,Training Videos,TV807,Open Source Code,12,$32.95 ,$6.59 ,$388.81 
1101992,Retail,Individual,Sharona Allbon,New Jersey,eBooks,EB509,GPS Drones,1,$19.99 ,0,$19.99 
1101993,Wholesale,Business,McCullough LLC,North Carolina,eBooks,EB508,Fixed Wing Drones,30,$15.50 ,$3.10 ,$461.90 
1101994,Wholesale,Business,Reilly LLC,Washington,Drone Kits,DK203,BYOD-220,11,$69.00 ,$13.80 ,$745.20 
1101995,Retail,Individual,Laura Hayes,Idaho,Training Videos,TV805,Industrial 3D Printing ,1,$49.00 ,0,$49.00 
1101996,Wholesale,Business,Barton Inc.,Louisiana,Training Videos,TV811,Understanding Drone Regulations,4,$27.50 ,$5.50 ,$104.50 
1101997,Wholesale,Business,Cummings LLC,New York,Drone Kits,DK206,BYOD-400,6,$119.00 ,$23.80 ,$690.20 
1101998,Retail,Individual,Letta Ganniclifft,Colorado,Training Videos,TV809,Understanding 3D Printing,1,$42.99 ,0,$42.99 
1101999,Retail,Individual,Ravi Dewitt,Indiana,eBooks,EB502,Building Your First Robot,1,$24.95 ,0,$24.95 
1102000,Retail,Individual,Kaja Pemble,California,Robot Kits,RK606,BYOR-3535,1,$224.00 ,0,$224.00 
1102001,Wholesale,Business,Bergnaum Group,Ohio,Drones,DS306,DX-145 Drone,107,$250.00 ,$50.00 ,"$26,700.00 "
1102002,Wholesale,Business,Kassulke-Schneider,Tennessee,Robot Kits,RK603,BYOR-1500,60,$189.00 ,$37.80 ,"$11,302.20 "
1102003,Retail,Individual,Melonie Klemenz,New York,Drone Kits,DK209,BYOD-550,1,$179.00 ,0,$179.00 
1102004,Wholesale,Business,Thompson Inc.,Massachusetts,eBooks,EB502,Building Your First Robot,10,$24.95 ,$4.99 ,$244.51 
1102005,Wholesale,Business,Schaefer Inc.,New Mexico,Robot Kits,RK606,BYOR-3535,12,$225.00 ,$45.00 ,"$2,655.00 "
1102006,Retail,Individual,Amber and Mueller,Tennessee,Training Videos,TV807,Open Source Code,1,$32.95 ,0,$32.95 
1102007,Retail,Individual,Joell Cearley,Arizona,Blueprints,BP110,Upside Down Robot Blueprint,1,$12.00 ,0,$12.00 
1102008,Retail,Individual,Gael Goodwell,Massachusetts,eBooks,EB509,GPS Drones,1,$19.99 ,0,$19.99 
1102009,Wholesale,Business,Gleason LLC,Louisiana,Drones,DS305,DTI-84 Drone,26,$455.00 ,$91.00 ,"$11,739.00 "
1102010,Retail,Individual,Bea Koss,Oregon,Robot Kits,RK606,BYOR-3535,3,$225.00 ,0,$675.00 
1102011,Retail,Individual,Evie Jaspar,Florida,Blueprints,BP106,Hexacopter Drone Blueprint,1,$8.99 ,0,$8.99 
1102012,Retail,Individual,Carmina Salthouse,Illinois,eBooks,EB521,Understanding Artificial Intelligence,1,$19.50 ,0,$19.50 
1102013,Retail,Individual,Shelden Ferrarini,California,eBooks,EB519,Spherical Robots,1,$16.75 ,0,$16.75 
1102014,Wholesale,Business,Lind Group,District of Columbia,eBooks,EB508,Fixed Wing Drones,11,$15.50 ,$3.10 ,$167.40 
1102015,Wholesale,Business,Herman LLC,Washington,Training Videos,TV808,Robotic Essentials,101,$34.99 ,$7.00 ,"$3,526.99 "
1102016,Wholesale,Business,Carter and Sons,Iowa,Training Videos,TV806,Mapping with Drones,11,$49.00 ,$9.80 ,$529.20 
1102017,Wholesale,Business,Stoltenberg LLC,New York,Drones,DS303,DTD-7000 Drone,98,$450.00 ,$90.00 ,"$44,010.00 "
1102018,Wholesale,Business,Haag Group,District of Columbia,eBooks,EB502,Building Your First Robot,42,$24.95 ,$4.99 ,"$1,042.91 "
1102019,Wholesale,Business,Waelchi Inc.,New York,Training Videos,TV808,Robotic Essentials,102,$34.99 ,$7.00 ,"$3,561.98 "
1102020,Retail,Individual,Sue Cummings,Texas,Robot Kits,RK606,BYOR-3535,2,$225.00 ,0,$450.00 
1102021,Wholesale,Business,Marvin Inc.,Kansas,eBooks,EB518,Single Rotor Drones,9,$14.99 ,$3.00 ,$131.91 
1102022,Retail,Individual,Noach Dorgan,Louisiana,Robots,RS704,RLK-9920 Robot,1,$699.00 ,0,$699.00 
1102023,Retail,Individual,Jacob Duce,New York,Blueprints,BP104,Cat Robot Blueprint,1,$4.99 ,0,$4.99 
1102024,Retail,Individual,Dona Purtell,Texas,eBooks,EB517,SCARA Robots,1,$19.50 ,0,$19.50 
1102025,Wholesale,Business,Daugherty Group,New Mexico,eBooks,EB502,Building Your First Robot,9,$24.95 ,$4.99 ,$219.56 
1102026,Wholesale,Business,Reichel and Sons,Oklahoma,Blueprints,BP108,Panda Robot Blueprint,10,$7.99 ,$1.60 ,$78.30 
1102027,Wholesale,Business,Bergstrom LLC,Minnesota,eBooks,EB521,Understanding Artificial Intelligence,3,$19.50 ,$3.90 ,$54.60 
1102028,Wholesale,Business,Goodwin Inc.,New York,Robots,RS702,MICR-23K Robot,6,$899.00 ,$179.80 ,"$5,214.20 "
1102029,Wholesale,Business,Wolff LLC,South Carolina,eBooks,EB513,Photograph Drones,11,$14.99 ,$3.00 ,$161.89 
1102030,Wholesale,Business,Satterfield LLC,California,Blueprints,BP104,Cat Robot Blueprint,95,$4.99 ,$1.00 ,$473.05 
1102031,Wholesale,Business,Dickens LLC,Connecticut,Robots,RS702,MICR-23K Robot,3,$899.00 ,$179.80 ,"$2,517.20 "
1102032,Retail,Individual,Lambert Jelks,Florida,Training Videos,TV812,Understanding Raspberry PI,1,$28.99 ,0,$28.99 
1102033,Wholesale,Business,Schuppe Inc.,Alabama,Robots,RS704,RLK-9920 Robot,10,$699.00 ,$139.80 ,"$6,850.20 "
1102034,Retail,Individual,Lolly Mabbot,Florida,Training Videos,TV805,Industrial 3D Printing ,1,$49.00 ,0,$49.00 
1102035,Retail,Individual,Matthew Duncan,New York,eBooks,EB521,Understanding Artificial Intelligence,1,$19.50 ,0,$19.50 
1102036,Wholesale,Business,Hills Group,Georgia,Blueprints,BP105,Creature Robot Arms Blueprint ,5,$12.00 ,$2.40 ,$57.60 
1102037,Wholesale,Business,Leuschke Inc.,Indiana,Training Videos,TV811,Understanding Drone Regulations,9,$27.50 ,$5.50 ,$242.00 
1102038,Wholesale,Business,Gusikowski Group,North Carolina,Blueprints,BP107,Ladybug Robot Blueprint,11,$12.00 ,$2.40 ,$129.60 
1102039,Wholesale,Business,Walter LTD,New York,Training Videos,TV801,Aerial Security,104,$36.99 ,$7.40 ,"$3,839.56 "
1102040,Wholesale,Business,Boehm Inc.,Idaho,eBooks,EB516,RTF Drones,12,$16.99 ,$3.40 ,$200.48 
1102041,Wholesale,Business,Breitenberg LLC,California,Drone Kits,DK209,BYOD-550,8,$179.00 ,$35.80 ,"$1,396.20 "
1102042,Wholesale,Business,Feest Inc.,Indiana,Training Videos,TV809,Understanding 3D Printing,12,$42.99 ,$8.60 ,$507.28 
1102043,Retail,Individual,Rach Goodwin,New York,Robot Kits,RK602,BYOR-1000,2,$189.00 ,0,$378.00 
1102044,Wholesale,Business,Ledner Inc.,Florida,Training Videos,TV813,Virtual Reality Basics,23,$29.99 ,$6.00 ,$683.77 
1102045,Retail,Individual,Hort Wiersma,California,eBooks,EB514,Polar Robots,1,$23.99 ,0,$23.99 
1102046,Retail,Individual,Rubi Brandon,Illinois,eBooks,EB518,Single Rotor Drones,1,$14.99 ,0,$14.99 
1102047,Retail,Individual,Dasie Skipton,Pennsylvania,Training Videos,TV809,Understanding 3D Printing,1,$42.99 ,0,$42.99 
1102048,Wholesale,Business,Breitenberg LLC,California,Training Videos,TV806,Mapping with Drones,12,$49.00 ,$9.80 ,$578.20 
1102049,Retail,Individual,Jacob Becker,Florida,Drone Kits,DK208,BYOD-500,3,$167.00 ,0,$501.00 
1102050,Wholesale,Business,Collier and Sons,Tennessee,Training Videos,TV803,Cloud Computing,10,$29.99 ,$6.00 ,$293.90 
1102051,Retail,Individual,Bunny Esmead,Florida,eBooks,EB506,Delta Robots,1,$16.99 ,0,$16.99 
1102052,Wholesale,Business,Hayes LLC,Illinois,Blueprints,BP104,Cat Robot Blueprint,6,$4.99 ,$1.00 ,$28.94 
1102053,Retail,Individual,Alva Weblin,North Carolina,Drone Kits,DK209,BYOD-550,1,$179.00 ,0,$179.00 
1102054,Retail,Individual,Silvester Baughen,California,eBooks,EB511,Helicopter Drones,1,$20.95 ,0,$20.95 
1102055,Retail,Individual,Terry Emmerich,Washington,Robot Kits,RK603,BYOR-1500,2,$189.00 ,0,$378.00 
1102056,Wholesale,Business,Murphy LLC,Missouri,Blueprints,BP109,QuadroCopter Blueprint ,13,$10.99 ,$2.20 ,$140.67 
1102057,Wholesale,Business,Bergnaum Group,Ohio,Drone Kits,DK203,BYOD-220,6,$69.00 ,$13.80 ,$400.20 
1102058,Wholesale,Business,Schuppe Inc.,Alabama,Blueprints,BP104,Cat Robot Blueprint,88,$4.99 ,$1.00 ,$438.12 
1102059,Wholesale,Business,Wiegand Inc.,Alabama,Blueprints,BP107,Ladybug Robot Blueprint,9,$12.00 ,$2.40 ,$105.60 
1102060,Wholesale,Business,Wolff LLC,South Carolina,Blueprints,BP110,Sleepy Eye Blueprint,8,$11.99 ,$2.40 ,$93.52 
1102061,Retail,Individual,Tori Frami,Florida,Drone Kits,DK202,BYOD-200,3,$58.95 ,0,$176.85 
1102062,Retail,Individual,Willie D'Aubney,Florida,Training Videos,TV805,Industrial 3D Printing ,1,$49.00 ,0,$49.00 
1102063,Wholesale,Business,Blue Sky Kites,Colorado,Training Videos,TV803,Cloud Computing,11,$29.99 ,$6.00 ,$323.89 
1102064,Retail,Individual,Melantha Roeby,Georgia,Drones,DS306,DX-145 Drone,1,$250.00 ,0,$250.00 
1102065,Wholesale,Business,Fisher Inc.,Nevada,Blueprints,BP102,Bsquare Robot Blueprint,5,$8.99 ,$1.80 ,$43.15 
1102066,Wholesale,Business,Witting Innovations,Kentucky,Blueprints,BP109,QuadroCopter Blueprint ,20,$10.99 ,$2.20 ,$217.60 
1102067,Wholesale,Business,Stehr Group,North Carolina,eBooks,EB505,Delivery Drones,8,$14.99 ,$3.00 ,$116.92 
1102068,Wholesale,Business,Koepp Inc.,Pennsylvania,Robots,RS704,RLK-9920 Robot,10,$699.00 ,$139.80 ,"$6,850.20 "
1102069,Wholesale,Business,Pagac LLC,Virginia,Training Videos,TV808,Robotic Essentials,11,$34.99 ,$7.00 ,$377.89 
1102070,Retail,Individual,Arliene Lander,New York,eBooks,EB514,Polar Robots,1,$23.99 ,0,$23.99 
1102071,Wholesale,Business,Smith Technologies,New York,Training Videos,TV806,Mapping with Drones,9,$49.00 ,$9.80 ,$431.20 
1102072,Wholesale,Business,Boyer LLC,Texas,Training Videos,TV801,Aerial Security,9,$36.99 ,$7.40 ,$325.51 
1102073,Retail,Individual,Stacy Prendeguest,Texas,Robots,RS706,RWW-75 Robot,1,$883.00 ,0,$883.00 
1102074,Retail,Individual,Cris Konopelski,Arizona,Robots,RS702,MICR-23K Robot,1,$899.00 ,0,$899.00 
1102075,Wholesale,Business,Larkin Group,Texas,eBooks,EB520,Understanding Arduino,8,$17.50 ,$3.50 ,$136.50 
1102076,Retail,Individual,Thurstan Hayton,Missouri,Blueprints,BP102,Bsquare Robot Blueprint,1,$8.99 ,0,$8.99 
1102077,Wholesale,Business,Kunze Group,California,Blueprints,BP102,Bsquare Robot Blueprint,8,$8.99 ,$1.80 ,$70.12 
1102078,Wholesale,Business,Torphy Invisionaries,Arizona,Drone Kits,DK206,BYOD-400,13,$119.00 ,$23.80 ,"$1,523.20 "
1102079,Wholesale,Business,Nikolaus LLC,Virginia,Training Videos,TV813,Virtual Reality Basics,6,$29.99 ,$6.00 ,$173.94 
1102080,Retail,Individual,Claretta Connochie,Illinois,Drone Kits,DK206,BYOD-400,2,$119.00 ,0,$238.00 
